Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.30014482315882296,0.09462551940854082,0.9354423897593813,0.14022988505747114,16.0,16.0,15.0,11.0
A2,0.09709218085653851,0.04435595674774,0.9584195291671724,-0.14482758620689679,19.0,21.0,18.0,18.0
A3,0.3747090992749927,0.09958773897008727,0.920939085580839,0.19080459770114944,14.0,15.0,12.0,9.0
A4,0.4384810802889366,0.1583705176673557,0.9192536777051241,0.12183908045977015,11.0,11.0,11.0,12.0
A5,0.9858280556213275,0.6238181191037767,0.5,0.8114942528735632,1.0,1.0,3.0,3.0
A6,0.05233754330971364,0.033180811119443925,0.986481558086101,-0.5241379310344828,25.0,25.0,25.0,27.0
A7,0.11484043263737304,0.05806630340527824,0.9691725446593881,-0.2206896551724139,18.0,19.0,19.0,19.0
A8,0.7719543613083315,0.31148532164982534,0.7981154031675077,0.5701149425287356,6.0,7.0,7.0,4.0
A9,0.9386738233983266,0.5198943937569585,0.12083339797393963,0.8206896551724139,2.0,2.0,1.0,1.0
A10,0.06291653788951564,0.038407273311100554,0.9829590862217199,-0.34252873563218394,24.0,23.0,24.0,21.0
A11,0.03129359180661416,0.02851939311290561,0.9865444400486327,-0.4551724137931036,27.0,26.0,26.0,25.0
A12,0.9384898406070741,0.4987380096602582,0.28031164188184243,0.8206896551724138,3.0,3.0,2.0,2.0
A13,0.0033452715174962645,0.003309789869502497,0.9989967595876132,-0.774712643678161,29.0,29.0,29.0,29.0
A14,0.07603791773073178,0.03938618690591195,0.9818186804878271,-0.37241379310344835,22.0,22.0,23.0,23.0
A15,0.08715063048803579,0.04955392587884172,0.9803006211770895,-0.35632183908045983,21.0,20.0,22.0,22.0
A16,0.009725427521360432,0.011003511790184422,0.9959291306799612,-0.6459770114942529,28.0,28.0,28.0,28.0
A17,0.17922883270756487,0.07137164894814714,0.9567446378054376,-0.14482758620689662,17.0,18.0,17.0,17.0
A18,0.0,0.0012867979063563534,1.0,-0.8367816091954023,30.0,30.0,30.0,30.0
A19,0.3280474003454028,0.11993986832796273,0.9330001986183021,0.12183908045976999,15.0,12.0,13.0,13.0
A20,0.7147118554970059,0.24189857083453647,0.7412304348096075,0.48505747126436777,7.0,9.0,5.0,7.0
A21,0.621320195868001,0.1928531032090383,0.8765103267447765,0.34022988505747137,8.0,10.0,10.0,8.0
A22,0.3806306470758506,0.11289342091952873,0.9344050544362673,0.11494252873563227,13.0,14.0,14.0,15.0
A23,0.3818984187095677,0.116990644724029,0.936622178560011,0.11954022988505736,12.0,13.0,16.0,14.0
A24,0.035046145828811555,0.02194307864226705,0.9895215621601432,-0.4666666666666668,26.0,27.0,27.0,26.0
A25,0.06979280433482102,0.034649462792084806,0.9788677583020065,-0.2459770114942531,23.0,24.0,21.0,20.0
A26,0.510312390198707,0.25602320172642107,0.8646680118467367,0.1770114942528736,10.0,8.0,9.0,10.0
A27,0.8219151238965209,0.4069825764377765,0.7291368245463723,0.5034482758620689,4.0,4.0,4.0,6.0
A28,0.782750766326138,0.3418250869401322,0.7835952138877718,0.5126436781609194,5.0,5.0,6.0,5.0
A29,0.09571156259542346,0.07675052861157661,0.9696794768248191,-0.42528735632183917,20.0,17.0,20.0,24.0
A30,0.6205740052852058,0.33459380731186067,0.8277719676744468,0.10574712643678169,9.0,6.0,8.0,16.0
