Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.21573013407118471,0.19621103374430343,0.844982506217313,-0.09425287356321821,23.0,23.0,15.0,21.0
A2,0.5602709354381289,0.2650843080116248,0.6924764422994926,0.10344827586206884,11.0,13.0,7.0,13.0
A3,0.4642212732474584,0.22233109761846592,0.5092232101408732,0.10804597701149421,13.0,21.0,5.0,10.0
A4,0.8161454094527494,0.38067031369994037,0.7075447678013957,0.3747126436781608,4.0,5.0,9.0,3.0
A5,0.4580592853437693,0.2758905672536415,0.8558406766232474,0.10344827586206917,14.0,11.0,18.0,12.0
A6,0.41169965300379013,0.29657505233500864,0.8531010341807987,-0.011494252873563149,16.0,10.0,17.0,17.0
A7,0.28509653556430536,0.25948286566305495,0.9008627921180442,-0.21609195402298847,20.0,16.0,22.0,24.0
A8,0.5450789969299261,0.2622273266284709,0.8582226787557721,0.027586206896551724,12.0,15.0,19.0,16.0
A9,0.44181372913396644,0.230675769328234,0.4744093310849533,0.1494252873563215,15.0,20.0,2.0,9.0
A10,0.345183627093544,0.26486536353680634,0.8922687751428238,-0.029885057471264298,18.0,14.0,21.0,19.0
A11,0.0725780050153163,0.16356391074870025,0.9936024635004262,-0.40459770114942545,29.0,28.0,29.0,28.0
A12,0.7016604531076027,0.3212636000329423,0.4786948475105663,0.20459770114942522,8.0,9.0,3.0,5.0
A13,0.11091306760994157,0.18227389610714717,0.9805611377932744,-0.5218390804597702,27.0,26.0,27.0,30.0
A14,0.6503311013430152,0.33931599579864635,0.795045144630524,0.17471264367816092,9.0,8.0,13.0,7.0
A15,0.40939234192326907,0.2569583094672717,0.8778407786690003,0.05517241379310345,17.0,17.0,20.0,15.0
A16,0.07426070875457705,0.17581617879544145,0.9920038534677347,-0.37011494252873567,28.0,27.0,28.0,27.0
A17,0.25504479187844453,0.1998825023618555,0.8109542403158116,-0.08505747126436775,22.0,22.0,14.0,20.0
A18,0.18568825264366293,0.25395023883918,0.9301985303473773,-0.5103448275862071,25.0,18.0,25.0,29.0
A19,0.051992740504239146,0.11478606607200871,1.0,-0.29195402298850576,30.0,30.0,30.0,26.0
A20,0.8919019682203876,0.4170683682233633,0.14610302944597267,0.5126436781609196,2.0,3.0,1.0,1.0
A21,0.1580150507690605,0.1572823430732487,0.7756647217394046,-0.21839080459770105,26.0,29.0,12.0,25.0
A22,0.7561045703501762,0.36584928828544727,0.7282068965588062,0.25747126436781603,5.0,7.0,10.0,4.0
A23,0.617739699230876,0.26790931509102284,0.8475982749986504,0.10574712643678147,10.0,12.0,16.0,11.0
A24,0.31665068503872734,0.23388802551681884,0.9132568759768556,-0.149425287356322,19.0,19.0,23.0,22.0
A25,0.2675984562530898,0.19403599315252307,0.9230759424541437,0.07816091954022991,21.0,24.0,24.0,14.0
A26,0.7311764150640999,0.3719154468055959,0.750959896452865,0.17241379310344818,6.0,6.0,11.0,8.0
A27,0.933838603682531,0.5094531753510444,0.5,0.4850574712643679,1.0,1.0,4.0,2.0
A28,0.19193353203962316,0.18847062440498621,0.941980597596201,-0.17241379310344807,24.0,25.0,26.0,23.0
A29,0.7251704611102517,0.4059027889598262,0.7020234142572127,-0.025287356321839205,7.0,4.0,8.0,18.0
A30,0.8667383488760112,0.4530371418804292,0.6095905418406362,0.18850574712643675,3.0,2.0,6.0,6.0
