Ai,V-COMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,V-COMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
$A_{1}$,0.30650637102254524,0.08952355326870125,0.9382921743240431,0.14022988505747108,16.0,16.0,14.0,13.0
$A_{2}$,0.10359892624963571,0.04357850745469539,0.9629710078528115,-0.15402298850574725,19.0,21.0,18.0,18.0
$A_{3}$,0.35313280879482867,0.09419199061619127,0.9204762390615353,0.16781609195402286,13.0,15.0,12.0,11.0
$A_{4}$,0.41596630666132495,0.17231125588869403,0.9179408547264746,0.14942528735632177,11.0,11.0,11.0,12.0
$A_{5}$,0.9884881909165949,0.627045176428841,0.5,0.8160919540229885,1.0,1.0,3.0,2.0
$A_{6}$,0.05350580839422164,0.03489059869886739,0.9847254833004411,-0.5034482758620693,25.0,24.0,25.0,26.0
$A_{7}$,0.12442985560467018,0.05968510885368336,0.9675565939155256,-0.20000000000000018,18.0,19.0,19.0,19.0
$A_{8}$,0.7749230272965422,0.3083439271689559,0.8011170893592207,0.5908045977011496,6.0,7.0,7.0,4.0
$A_{9}$,0.9289213955270259,0.5146333552441784,0.1286995605775454,0.8252873563218391,2.0,2.0,1.0,1.0
$A_{10}$,0.06224839103948723,0.0356217279577129,0.979523806056394,-0.33333333333333337,24.0,23.0,22.0,21.0
$A_{11}$,0.03561042859719947,0.030613822587674134,0.9853905362247666,-0.439080459770115,26.0,26.0,26.0,25.0
$A_{12}$,0.9261940760423069,0.4834817063873136,0.42734239726934464,0.7839080459770116,3.0,3.0,2.0,3.0
$A_{13}$,0.005821064767413557,0.006038771789550382,0.998156499828774,-0.7793103448275863,29.0,29.0,29.0,29.0
$A_{14}$,0.08204530705837748,0.042601185451933095,0.9811477419432207,-0.37931034482758624,22.0,22.0,24.0,23.0
$A_{15}$,0.08811828364376763,0.051696827404037776,0.9745185277322469,-0.3471264367816094,21.0,20.0,21.0,22.0
$A_{16}$,0.015074837135885692,0.013464185146121329,0.9948631984197458,-0.6505747126436782,28.0,28.0,28.0,28.0
$A_{17}$,0.1504641057787591,0.06091905650623784,0.9612956913717543,-0.149425287356322,17.0,18.0,17.0,17.0
$A_{18}$,6.707970525521492e-05,0.001532521481080872,1.0,-0.8643678160919542,30.0,30.0,30.0,30.0
$A_{19}$,0.4069150462137362,0.1121576494632716,0.9302879449259783,0.18620689655172412,12.0,12.0,13.0,10.0
$A_{20}$,0.7046719987503453,0.23019221421792033,0.7829385868881575,0.44367816091954015,7.0,9.0,6.0,7.0
$A_{21}$,0.6220695100479029,0.19471161373833723,0.8590898455227907,0.3517241379310343,9.0,10.0,9.0,8.0
$A_{22}$,0.3512595260053992,0.1074699809550825,0.9386794739269508,0.08045977011494249,14.0,14.0,15.0,15.0
$A_{23}$,0.3338368927042966,0.10778470386703522,0.9434867702308092,0.057471264367815966,15.0,13.0,16.0,16.0
$A_{24}$,0.034857153936926344,0.02037909606389095,0.98898474113719,-0.5080459770114942,27.0,27.0,27.0,27.0
$A_{25}$,0.0656720092422556,0.031593385045607755,0.9811139338903256,-0.28735632183908044,23.0,25.0,23.0,20.0
$A_{26}$,0.5772848348065202,0.24955864527829957,0.8636646350637349,0.296551724137931,10.0,8.0,10.0,9.0
$A_{27}$,0.8130311303384955,0.4001287058923261,0.7367631742746046,0.49655172413793097,4.0,4.0,4.0,6.0
$A_{28}$,0.796263023137138,0.35663092550446407,0.7725830752735745,0.535632183908046,5.0,5.0,5.0,5.0
$A_{29}$,0.09202654628080678,0.08263276953442031,0.9677302949881923,-0.4160919540229884,20.0,17.0,20.0,24.0
$A_{30}$,0.6227369820517372,0.33006865635701904,0.831903682990197,0.08965517241379334,8.0,6.0,8.0,14.0
