Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.16435658643185763,0.18651180211675172,0.8574656616451073,-0.10804597701149427,25.0,24.0,17.0,21.0
A2,0.5438297147731396,0.24046498252936577,0.47043087904562486,0.09885057471264352,11.0,16.0,2.0,9.0
A3,0.36162442186601484,0.2025790796794894,0.42318827695725875,0.04367816091954013,17.0,23.0,1.0,14.0
A4,0.8301720391680443,0.375750953520668,0.7163221798164078,0.33793103448275835,4.0,6.0,10.0,4.0
A5,0.4204408774361136,0.27888816135203515,0.8653018822220211,0.05287356321839093,15.0,12.0,18.0,12.0
A6,0.5737007036956092,0.3160923957837451,0.7434525354199906,0.07586206896551712,9.0,8.0,13.0,10.0
A7,0.3460455968813699,0.27869515373114007,0.8823528998319813,-0.2068965517241379,19.0,13.0,19.0,24.0
A8,0.5147330953385056,0.2432757363137812,0.8823593710548967,0.0413793103448275,12.0,15.0,20.0,15.0
A9,0.40042554365263183,0.2060099230269978,0.5497056791609142,0.11724137931034478,16.0,22.0,5.0,7.0
A10,0.47867113063113825,0.24545839071251907,0.8433855551204865,0.01149425287356326,14.0,14.0,16.0,17.0
A11,0.05775440404532016,0.17818598256203325,1.0,-0.33103448275862074,30.0,26.0,30.0,27.0
A12,0.5532458072039794,0.2886327719837217,0.6095975792050066,0.05287356321839082,10.0,11.0,7.0,13.0
A13,0.15918867470926176,0.2251769267994762,0.952847989180413,-0.44597701149425306,26.0,19.0,27.0,30.0
A14,0.6080702081254447,0.33906589302309315,0.7416762389310632,0.11264367816091947,8.0,7.0,12.0,8.0
A15,0.2939501645633075,0.22568201087831716,0.6066251719599132,-0.016091954022988297,21.0,18.0,6.0,18.0
A16,0.0764033435029014,0.18070864610719914,0.9914387861463003,-0.33333333333333337,29.0,25.0,29.0,28.0
A17,0.19047073593970124,0.17683283995992088,0.8128508827844434,-0.2689655172413792,24.0,27.0,15.0,25.0
A18,0.25036522249907783,0.2958081553758879,0.9041056147867137,-0.4229885057471265,22.0,10.0,23.0,29.0
A19,0.13253313099353556,0.1732943224448163,0.9665786007245725,-0.135632183908046,28.0,29.0,28.0,23.0
A20,0.8337338378056014,0.38303446866522683,0.5151071429326681,0.4114942528735634,3.0,5.0,4.0,2.0
A21,0.1550252321934223,0.14689833287453774,0.9052514520101709,-0.26896551724137924,27.0,30.0,24.0,26.0
A22,0.7099302030299198,0.3156301662007572,0.7860284385796203,0.21149425287356305,7.0,9.0,14.0,5.0
A23,0.4990496735098632,0.23513850660330698,0.8895291287358023,0.05977011494252865,13.0,17.0,22.0,11.0
A24,0.3474376322412417,0.21836674056622277,0.8890463366265864,-0.103448275862069,18.0,20.0,21.0,20.0
A25,0.29583824071051384,0.17654699752522338,0.9285471374956844,0.01609195402298852,20.0,28.0,26.0,16.0
A26,0.7835264216062867,0.3854766894026776,0.7191247634803676,0.35632183908045967,5.0,4.0,11.0,3.0
A27,0.9357955319455472,0.5017338040075455,0.5,0.6000000000000001,1.0,1.0,3.0,1.0
A28,0.22995659662449722,0.21341938427726823,0.9276173129685663,-0.12183908045976999,23.0,21.0,25.0,22.0
A29,0.711765552055495,0.39761601031429705,0.7148576487288689,-0.04597701149425293,6.0,3.0,9.0,19.0
A30,0.8389004659565502,0.443159728809214,0.6149655466975934,0.20919540229885064,2.0,2.0,8.0,6.0
