Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.20060194393147035,0.1818806607109142,0.861695373447543,-0.07586206896551712,23.0,24.0,17.0,20.0
A2,0.5645190416845435,0.23174725063524054,0.40018794545249825,0.1126436781609193,10.0,16.0,1.0,9.0
A3,0.38085503411781596,0.1937858692881786,0.4189138966702343,0.04367816091954024,17.0,23.0,2.0,14.0
A4,0.8413478148374401,0.37545859285816013,0.7072713588296066,0.3563218390804594,3.0,5.0,10.0,4.0
A5,0.4481386150558506,0.27526732611158145,0.8571385578059776,0.09885057471264375,14.0,12.0,16.0,11.0
A6,0.4872872089283217,0.31096945392122044,0.7485131959011808,0.029885057471264354,13.0,9.0,13.0,15.0
A7,0.3491166128805868,0.25781505001800326,0.8849180984312746,-0.20459770114942533,20.0,13.0,19.0,23.0
A8,0.5144239987969804,0.22916539770260982,0.8803178072148634,0.07586206896551728,12.0,18.0,18.0,12.0
A9,0.42299956143594747,0.1975165250283034,0.6128157092009784,0.11724137931034467,15.0,22.0,6.0,8.0
A10,0.39840883125264964,0.2442593897911924,0.8965808276942095,0.020689655172413834,16.0,14.0,22.0,16.0
A11,0.0539170556005804,0.1655020303227123,1.0,-0.40229885057471265,30.0,25.0,30.0,28.0
A12,0.6040091200818616,0.2888029981826457,0.634350741404641,0.10804597701149432,9.0,11.0,8.0,10.0
A13,0.20135979426809797,0.24031918094210114,0.9264957407297738,-0.4252873563218393,22.0,15.0,25.0,30.0
A14,0.6420185382088188,0.3400523055443197,0.7323753144056326,0.14942528735632177,8.0,7.0,12.0,7.0
A15,0.36246343764880856,0.22994124445759592,0.6106991178268112,0.07126436781609202,18.0,17.0,5.0,13.0
A16,0.07789438406939779,0.16354970619312487,0.9926819250677856,-0.3103448275862069,29.0,26.0,29.0,27.0
A17,0.199126140963295,0.16118268707694303,0.8364803183112812,-0.20919540229885059,25.0,27.0,15.0,24.0
A18,0.26139872310227413,0.29060699741485313,0.8999042594475108,-0.40919540229885054,21.0,10.0,23.0,29.0
A19,0.09795335459486307,0.1358036348994808,0.9884329478876661,-0.25057471264367825,28.0,29.0,28.0,25.0
A20,0.8462724142641604,0.38774796848267434,0.4611944299750719,0.45747126436781627,2.0,4.0,3.0,2.0
A21,0.15954654242465713,0.13501651159822878,0.9074625984563008,-0.2873563218390805,27.0,30.0,24.0,26.0
A22,0.7386077791995005,0.31954252468128863,0.7707858193469426,0.24597701149425277,6.0,8.0,14.0,5.0
A23,0.5303238551719096,0.22722572334186616,0.8876805726846464,0.011494252873563204,11.0,19.0,20.0,17.0
A24,0.353004559362444,0.20909781280545114,0.8941557295958728,-0.10804597701149443,19.0,20.0,21.0,21.0
A25,0.1956599092866754,0.1455698341409702,0.9634155394261792,-0.01609195402298852,26.0,28.0,27.0,18.0
A26,0.7731328841961731,0.3732255296618982,0.7271589803333732,0.3609195402298851,5.0,6.0,11.0,3.0
A27,0.929401585527119,0.49508679810557377,0.5,0.45977011494252884,1.0,1.0,4.0,1.0
A28,0.19955849094516348,0.19949594463315867,0.9348636064781226,-0.1816091954022987,24.0,21.0,26.0,22.0
A29,0.7151255352415808,0.39688010515452726,0.7037756385414724,-0.02988505747126441,7.0,3.0,9.0,19.0
A30,0.8325701759966617,0.43312303737579405,0.6236119984248166,0.19080459770114938,4.0,2.0,7.0,6.0
