Ai,V-COMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,V-COMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
$A_{1}$,0.28779322289183573,0.08733777962955952,0.9389991214825184,0.1264367816091952,16.0,16.0,14.0,13.0
$A_{2}$,0.10301453648628507,0.045139913263936814,0.9652384590499559,-0.16781609195402308,19.0,21.0,18.0,18.0
$A_{3}$,0.3554843512645717,0.09818702186988013,0.9195473667864269,0.13563218390804588,13.0,15.0,13.0,12.0
$A_{4}$,0.4106432142930153,0.17333263728567522,0.9177551570926901,0.14022988505747125,12.0,11.0,11.0,11.0
$A_{5}$,0.9901648941591332,0.6253125834354728,0.5,0.806896551724138,1.0,1.0,3.0,2.0
$A_{6}$,0.04836736042191854,0.03241874971966067,0.9854640003036843,-0.4988505747126437,25.0,26.0,26.0,26.0
$A_{7}$,0.11901457405358178,0.06071197103083233,0.966850564188255,-0.20689655172413796,18.0,18.0,19.0,19.0
$A_{8}$,0.7775579828719162,0.3070368379439566,0.8011802013073515,0.560919540229885,6.0,7.0,6.0,6.0
$A_{9}$,0.9334596537322648,0.5171526512276334,0.12456249676815552,0.8206896551724138,2.0,2.0,1.0,1.0
$A_{10}$,0.0633044964094416,0.03547214597353694,0.9780228292408693,-0.328735632183908,24.0,24.0,23.0,21.0
$A_{11}$,0.03819120528779172,0.033073429580931256,0.9841865200637445,-0.41379310344827586,26.0,25.0,25.0,24.0
$A_{12}$,0.9242496423751893,0.47410774380355153,0.4363201261457226,0.7839080459770117,3.0,3.0,2.0,3.0
$A_{13}$,0.005418127161412197,0.005685484146406251,0.9982611552099001,-0.7770114942528737,29.0,29.0,29.0,29.0
$A_{14}$,0.07817580544850945,0.04355363617359304,0.9807903776172067,-0.406896551724138,23.0,22.0,24.0,23.0
$A_{15}$,0.07954282589099823,0.05075574281315306,0.9761662991576656,-0.38390804597701156,22.0,20.0,21.0,22.0
$A_{16}$,0.015543439460754614,0.014469063369981964,0.9943553971002763,-0.6459770114942529,28.0,28.0,28.0,28.0
$A_{17}$,0.13956449602921775,0.05897083204410873,0.9616520228390586,-0.16321839080459788,17.0,19.0,17.0,17.0
$A_{18}$,5.359600200024767e-05,0.0016603683466075883,1.0,-0.8735632183908048,30.0,30.0,30.0,30.0
$A_{19}$,0.5150498238271808,0.1301304567723531,0.9184064441667348,0.24137931034482762,11.0,12.0,12.0,10.0
$A_{20}$,0.7019048889961615,0.22385065990785843,0.8095016179472017,0.42068965517241375,7.0,9.0,7.0,7.0
$A_{21}$,0.6486769199446047,0.20036721176194805,0.8328902888576619,0.3609195402298849,8.0,10.0,9.0,8.0
$A_{22}$,0.333344967722215,0.10439804450230852,0.939640459367418,0.07356321839080471,15.0,14.0,15.0,15.0
$A_{23}$,0.3343451272142818,0.1102535767199361,0.9414674982686542,0.013793103448275834,14.0,13.0,16.0,16.0
$A_{24}$,0.033779279693108864,0.020601404629711544,0.9886993460197135,-0.5172413793103448,27.0,27.0,27.0,27.0
$A_{25}$,0.08698781627161652,0.039836633556057266,0.9768357479392807,-0.23678160919540236,20.0,23.0,22.0,20.0
$A_{26}$,0.5892441501015726,0.24905667170789786,0.8627675827695611,0.296551724137931,10.0,8.0,10.0,9.0
$A_{27}$,0.8308435759090668,0.39869057040083705,0.7338112589944759,0.6183908045977011,4.0,4.0,4.0,4.0
$A_{28}$,0.8213143219414448,0.3774285568033633,0.7547169187416713,0.5632183908045977,5.0,5.0,5.0,5.0
$A_{29}$,0.08416201394723928,0.08137522509452476,0.9680233609369784,-0.43678160919540227,21.0,17.0,20.0,25.0
$A_{30}$,0.6380169905011115,0.3305459455412314,0.829289963901251,0.09425287356321854,9.0,6.0,8.0,14.0
